"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GUT^A","Gabelli Utility Trust (The)","25.2527","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gut^a",
"GUT^C","Gabelli Utility Trust (The)","24.7494","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gut^c",
"GFA","Gafisa SA","6.56","144000724.8","n/a","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/gfa",
"GCAP","GAIN Capital Holdings, Inc.","7.55","337048859.15","n/a","2010","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/gcap",
"GBL","Gamco Investors, Inc.","23.6","683512191.6","n/a","1999","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/gbl",
"GNT","GAMCO Natural Resources, Gold & Income Tust ","5.68","118697856.8","n/a","2011","n/a","n/a","https://www.nasdaq.com/symbol/gnt",
"GNT^A","GAMCO Natural Resources, Gold & Income Tust ","23.42","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gnt^a",
"GME","Gamestop Corporation","14.76","1504731668.4","n/a","2002","Consumer Services","Electronics Distribution","https://www.nasdaq.com/symbol/gme",
"GPS","Gap, Inc. (The)","27.53","10591019058.52","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/gps",
"GDI","Gardner Denver Holdings, Inc.","27.26","5428003594.46","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gdi",
"GTX","Garrett Motion Inc.","16.21","1972838828.08","n/a","2018","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/gtx",
"IT","Gartner, Inc.","152.54","13853385499.54","n/a","1993","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/it",
"GLOG","GasLog LP.","20.01","1613507070.36","n/a","2012","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/glog",
"GLOG^A","GasLog LP.","25.62","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glog^a",
"GLOP","GasLog Partners LP","25.14","1100416666.44","n/a","2014","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/glop",
"GLOP^A","GasLog Partners LP","25.58","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glop^a",
"GLOP^B","GasLog Partners LP","25.39","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glop^b",
"GTES","Gates Industrial Corporation plc","18.14","5256180715.06","n/a","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gtes",
"GATX","GATX Corporation","88.61","3340597000","n/a","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/gatx",
"GMTA","GATX Corporation","24.8998","0","n/a","2016","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/gmta",
"GZT","Gazit-Globe Ltd.","8.846","1712208185.41","n/a","2011","Finance","Real Estate","https://www.nasdaq.com/symbol/gzt",
"GCP","GCP Applied Technologies Inc.","25.53","1842186821.37","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/gcp",
"GNK","Genco Shipping & Trading Limited ","13.91","577918825.64","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/gnk",
"GNRC","Generac Holdlings Inc.","57.05","3536785426.3","n/a","2010","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/gnrc",
"GAM","General American Investors, Inc.","36.07","929237432.06","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gam",
"GAM^B","General American Investors, Inc.","25.67","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gam^b",
"GD","General Dynamics Corporation","204.16","60488817157.12","n/a","n/a","Capital Goods","Marine Transportation","https://www.nasdaq.com/symbol/gd",
"GE","General Electric Company","13.55","117764147550","n/a","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/ge",
"GIS","General Mills, Inc.","43.29","25810793756.28","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/gis",
"GM","General Motors Company","32.65","46065503517.4","n/a","2010","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/gm",
"GM.WS.B","General Motors Company","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gm.ws.b",
"GCO","Genesco Inc.","43.66","881615072.06","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/gco",
"GWR","Genesee & Wyoming, Inc.","88.33","5308877939.09","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/gwr",
